iso,date,win1,win1_pric,win2,win2_pric,win3,win3_pric,win4,win4_pric,win5,win5_pric,c1,c2,c3,c4,c5,c6,cb
1098,2023.12.16,13,"1,930,461,895원",68,"61,509,816원",2840,"1,472,771원",138090,"50,000원",2311866,"5,000원",12,16,21,24,41,43,15
1097,2023.12.09,7,"3,864,293,090원",67,"67,288,686원",2631,"1,713,547원",135670,"50,000원",2317263,"5,000원",14,33,34,35,37,40,4
1096,2023.12.02,10,"2,539,391,175원",85,"49,791,984원",2924,"1,447,442원",141700,"50,000원",2386598,"5,000원",1,12,16,19,23,43,34
1095,2023.11.25,10,"2,617,825,575원",57,"76,544,608원",2584,"1,688,484원",135653,"50,000원",2278659,"5,000원",8,14,28,29,34,40,12
1094,2023.11.18,12,"2,112,854,469원",87,"48,571,368원",2725,"1,550,719원",136802,"50,000원",2278728,"5,000원",6,7,15,22,26,40,41
1093,2023.11.11,13,"1,967,040,750원",65,"65,568,025원",2928,"1,455,575원",141232,"50,000원",2327509,"5,000원",10,17,22,30,35,43,44
1092,2023.11.04,16,"1,583,289,844원",84,"50,263,170원",3327,"1,269,044원",160096,"50,000원",2540721,"5,000원",7,18,19,26,33,45,37
1091,2023.10.28,9,"2,898,470,459원",65,"66,887,780원",2873,"1,513,299원",149578,"50,000원",2481449,"5,000원",6,20,23,24,28,30,44
1090,2023.10.21,11,"2,386,494,614원",88,"49,718,638원",2931,"1,492,747원",143714,"50,000원",2398962,"5,000원",12,19,21,29,40,45,1
1089,2023.10.14,9,"2,978,522,167원",79,"56,554,219원",2825,"1,581,517원",138575,"50,000원",2338390,"5,000원",4,18,31,37,42,43,40
1088,2023.10.07,11,"2,434,697,898원",94,"47,485,243원",2991,"1,492,348원",141487,"50,000원",2352280,"5,000원",11,21,22,30,39,44,31
1087,2023.09.30,16,"1,732,253,602원",71,"65,061,169원",2989,"1,545,448원",149854,"50,000원",2506601,"5,000원",13,14,18,21,34,44,16
1086,2023.09.23,17,"1,515,913,809원",67,"64,105,808원",3270,"1,313,483원",155241,"50,000원",2500478,"5,000원",11,16,25,27,35,36,37
1085,2023.09.16,23,"1,073,277,473원",80,"51,427,879원",3471,"1,185,316원",156670,"50,000원",2475529,"5,000원",4,7,17,18,38,44,36
1084,2023.09.09,15,"1,738,764,600원",107,"40,625,342원",3003,"1,447,523원",151391,"50,000원",2512924,"5,000원",8,12,13,29,33,42,5
1083,2023.09.02,15,"1,713,084,525원",72,"59,482,102원",3274,"1,308,098원",154536,"50,000원",2501816,"5,000원",3,7,14,15,22,38,17
1082,2023.08.26,7,"3,720,489,643원",62,"70,009,214원",2768,"1,568,126원",142123,"50,000원",2390544,"5,000원",21,26,27,32,34,42,31
1081,2023.08.19,11,"2,343,892,944원",92,"46,708,012원",2923,"1,470,112원",143152,"50,000원",2390493,"5,000원",1,9,16,23,24,38,17
1080,2023.08.12,7,"3,639,444,429원",82,"51,780,714원",2720,"1,561,037원",136257,"50,000원",2254999,"5,000원",13,16,23,31,36,44,38
1079,2023.08.05,9,"2,712,329,417원",85,"47,864,637원",3212,"1,266,655원",145773,"50,000원",2344700,"5,000원",4,8,18,24,37,45,6
1078,2023.07.29,12,"2,141,604,938원",77,"55,626,103원",2691,"1,591,680원",135352,"50,000원",2334106,"5,000원",6,10,11,14,36,38,43
1077,2023.07.22,7,"3,570,901,018원",98,"42,510,727원",3235,"1,287,806원",149808,"50,000원",2428987,"5,000원",4,8,17,30,40,43,34
1076,2023.07.15,9,"2,672,689,750원",86,"46,616,682원",3109,"1,289,494원",148521,"50,000원",2417204,"5,000원",3,7,9,33,36,37,10
1075,2023.07.08,9,"2,896,337,167원",160,"27,153,161원",2750,"1,579,821원",134529,"50,000원",2267024,"5,000원",1,23,24,35,44,45,10
1074,2023.07.01,12,"2,134,763,657원",78,"54,737,530원",2711,"1,574,891원",143155,"50,000원",2311622,"5,000원",1,6,20,27,28,41,15
1073,2023.06.24,11,"2,345,227,603원",62,"69,348,129원",2994,"1,436,067원",146834,"50,000원",2387538,"5,000원",6,18,28,30,32,38,15
1072,2023.06.17,12,"2,175,006,375원",93,"46,774,331원",2872,"1,514,629원",145504,"50,000원",2400605,"5,000원",16,18,20,23,32,43,27
1071,2023.06.10,5,"5,183,979,750원",83,"52,047,990원",2891,"1,494,287원",143234,"50,000원",2391950,"5,000원",1,2,11,21,30,35,39
1070,2023.06.03,14,"1,859,116,929원",63,"68,856,183원",2938,"1,476,495원",142759,"50,000원",2353987,"5,000원",3,6,14,22,30,41,36
1069,2023.05.27,14,"1,863,217,554원",79,"55,031,743원",3006,"1,446,277원",146335,"50,000원",2419527,"5,000원",1,10,18,22,28,31,44
1068,2023.05.20,19,"1,363,929,514원",87,"49,644,944원",3114,"1,386,998원",150789,"50,000원",2480427,"5,000원",4,7,19,26,33,35,3
1067,2023.05.13,13,"1,981,114,010원",82,"52,346,509원",3679,"1,166,734원",163488,"50,000원",2567588,"5,000원",7,10,19,23,28,33,18
1066,2023.05.06,15,"1,670,947,250원",88,"47,470,093원",3323,"1,257,108원",152826,"50,000원",2432046,"5,000원",6,11,16,19,21,32,45
1065,2023.04.29,14,"1,852,593,938원",74,"58,415,125원",3117,"1,386,821원",148561,"50,000원",2416212,"5,000원",3,18,19,23,32,45,24
1064,2023.04.22,19,"1,348,168,106원",62,"68,858,049원",3296,"1,295,267원",158665,"50,000원",2525390,"5,000원",3,6,9,18,22,35,14
1063,2023.04.15,7,"3,770,311,875원",55,"79,976,313원",2706,"1,625,535원",139518,"50,000원",2401618,"5,000원",3,6,22,23,24,38,30
1062,2023.04.08,7,"3,801,933,804원",68,"65,229,257원",2668,"1,662,515원",133599,"50,000원",2278058,"5,000원",20,31,32,40,41,45,12
1061,2023.04.01,11,"2,422,768,773원",99,"44,866,089원",3003,"1,479,102원",145857,"50,000원",2425576,"5,000원",4,24,27,35,37,45,15
1060,2023.03.25,28,"898,238,907원",96,"43,664,392원",4593,"912,646원",179475,"50,000원",2566118,"5,000원",3,10,24,33,38,45,36
1059,2023.03.18,13,"2,033,168,481원",83,"53,074,680원",3127,"1,408,762원",151941,"50,000원",2516955,"5,000원",7,10,22,25,34,40,27
1058,2023.03.11,13,"2,058,020,250원",60,"74,317,398원",3074,"1,450,568원",152446,"50,000원",2545208,"5,000원",11,23,25,30,32,40,42
1057,2023.03.04,17,"1,616,069,714원",664,"6,895,880원",2962,"1,545,870원",146471,"50,000원",2461496,"5,000원",8,13,19,27,40,45,12
1056,2023.02.25,14,"1,969,662,456원",81,"56,739,248원",3223,"1,425,964원",150996,"50,000원",2464595,"5,000원",13,20,24,32,36,45,29
1055,2023.02.18,11,"2,362,815,205원",92,"47,085,086원",3413,"1,269,215원",165590,"50,000원",2662001,"5,000원",4,7,12,14,22,33,31
1054,2023.02.11,9,"3,147,925,709원",66,"71,543,767원",2714,"1,739,827원",140308,"50,000원",2407955,"5,000원",14,19,27,28,30,45,33
1053,2023.02.04,7,"4,090,367,411원",64,"74,563,990원",2702,"1,766,135원",136905,"50,000원",2367764,"5,000원",22,26,29,30,34,45,15
1052,2023.01.28,11,"2,341,682,762원",108,"39,750,788원",2926,"1,467,220원",148178,"50,000원",2405830,"5,000원",5,17,26,27,35,38,1
1051,2023.01.21,18,"1,669,558,480원",70,"71,552,507원",2824,"1,773,611원",143314,"50,000원",2477370,"5,000원",21,26,30,32,33,35,44
1050,2023.01.14,17,"1,535,083,280원",70,"62,134,324원",2866,"1,517,587원",144610,"50,000원",2402116,"5,000원",6,12,31,35,38,43,17
1049,2023.01.07,15,"1,727,810,100원",89,"48,533,992원",2968,"1,455,366원",147061,"50,000원",2462622,"5,000원",3,5,13,20,21,37,17
1048,2022.12.31,17,"1,612,494,508원",102,"44,791,515원",3817,"1,196,944원",170086,"50,000원",2721555,"5,000원",6,12,17,21,32,39,30
1047,2022.12.24,9,"2,748,797,875원",83,"49,677,071원",2728,"1,511,436원",139530,"50,000원",2313403,"5,000원",2,20,33,40,42,44,32
1046,2022.12.17,12,"2,011,415,719원",57,"70,575,991원",2959,"1,359,524원",139560,"50,000원",2260269,"5,000원",7,16,25,29,35,36,28
1045,2022.12.10,13,"1,990,060,443원",67,"64,355,189원",2699,"1,597,554원",135872,"50,000원",2280432,"5,000원",6,14,15,19,21,41,37
1044,2022.12.03,8,"3,136,941,235원",72,"58,091,505원",2597,"1,610,547원",134226,"50,000원",2254796,"5,000원",12,17,20,26,28,36,4
1043,2022.11.26,17,"1,468,646,956원",86,"48,385,656원",3156,"1,318,494원",155087,"50,000원",2495858,"5,000원",3,5,12,22,26,31,19
1042,2022.11.19,20,"1,240,663,669원",100,"41,355,456원",3567,"1,159,391원",157156,"50,000원",2462593,"5,000원",5,14,15,23,34,43,4
1041,2022.11.12,25,"935,091,165원",85,"45,837,803원",3947,"987,133원",167535,"50,000원",2620869,"5,000원",6,7,9,11,17,18,45
1040,2022.11.05,7,"3,660,482,625원",63,"67,786,716원",2583,"1,653,335원",133245,"50,000원",2235373,"5,000원",8,16,26,29,31,36,11
1039,2022.10.29,16,"1,585,019,672원",80,"52,833,990원",2773,"1,524,241원",140403,"50,000원",2359126,"5,000원",2,3,6,19,36,39,26
1038,2022.10.22,15,"1,627,457,225원",77,"52,839,521원",3364,"1,209,466원",154690,"50,000원",2436512,"5,000원",7,16,24,27,37,44,2
1037,2022.10.15,15,"1,708,576,825원",78,"54,762,078원",2713,"1,574,435원",137021,"50,000원",2279500,"5,000원",2,14,15,22,27,33,31
1036,2022.10.08,9,"2,837,323,167원",64,"66,499,762원",2593,"1,641,337원",133443,"50,000원",2231388,"5,000원",2,5,22,32,34,45,39
1035,2022.10.01,8,"3,231,193,735원",71,"60,679,695원",2848,"1,512,732원",141624,"50,000원",2366499,"5,000원",9,14,34,35,41,42,2
1034,2022.09.24,9,"2,868,856,209원",66,"65,201,278원",2898,"1,484,916원",142939,"50,000원",2400364,"5,000원",26,31,32,33,38,40,11
1033,2022.09.17,13,"1,913,414,943원",79,"52,477,625원",3083,"1,344,708원",145505,"50,000원",2376004,"5,000원",3,11,15,20,35,44,10
1032,2022.09.10,10,"2,675,257,538원",90,"49,541,807원",3078,"1,448,591원",149807,"50,000원",2458611,"5,000원",1,6,12,19,36,42,28
1031,2022.09.03,8,"3,213,957,563원",64,"66,957,450원",2789,"1,536,493원",132815,"50,000원",2247015,"5,000원",6,7,22,32,35,36,19
1030,2022.08.27,19,"1,276,406,507원",104,"38,864,942원",3278,"1,233,055원",154929,"50,000원",2473576,"5,000원",2,5,11,17,24,29,9
1029,2022.08.20,10,"2,527,848,450원",62,"67,952,916원",2614,"1,611,738원",125573,"50,000원",2136972,"5,000원",12,30,32,37,39,41,24
1028,2022.08.13,20,"1,181,235,132원",91,"43,268,687원",2810,"1,401,228원",142778,"50,000원",2333653,"5,000원",5,7,12,13,18,35,23
1027,2022.08.06,10,"2,460,504,338원",83,"49,407,718원",2700,"1,518,830원",134097,"50,000원",2217201,"5,000원",14,16,27,35,39,45,5
1026,2022.07.30,15,"1,619,118,475원",76,"53,260,477원",2786,"1,452,907원",138907,"50,000원",2290094,"5,000원",5,12,13,31,32,41,34
1025,2022.07.23,4,"6,118,853,344원",69,"59,119,356원",2671,"1,527,232원",134665,"50,000원",2258426,"5,000원",8,9,20,25,29,33,7
1024,2022.07.16,8,"3,020,323,500원",63,"63,922,191원",2616,"1,539,411원",134065,"50,000원",2224097,"5,000원",9,18,20,22,38,44,10
1023,2022.07.09,9,"2,745,677,875원",72,"57,201,623원",2506,"1,643,463원",127810,"50,000원",2172239,"5,000원",10,14,16,18,29,35,25
1022,2022.07.02,5,"4,866,468,075원",63,"64,371,271원",2580,"1,571,857원",127962,"50,000원",2155059,"5,000원",5,6,11,29,42,45,28
1021,2022.06.25,12,"2,108,962,250원",56,"75,320,081원",2461,"1,713,907원",126484,"50,000원",2182497,"5,000원",12,15,17,24,29,45,16
1020,2022.06.18,13,"1,966,431,520원",77,"55,332,489원",2817,"1,512,461원",138221,"50,000원",2300467,"5,000원",12,27,29,38,41,45,6
1019,2022.06.11,50,"438,565,140원",75,"48,729,460원",5823,"627,634원",192646,"50,000원",2506493,"5,000원",1,4,13,17,34,39,6
1018,2022.06.04,2,"12,361,744,688원",62,"66,460,993원",2693,"1,530,109원",130602,"50,000원",2216230,"5,000원",3,19,21,25,37,45,35
1017,2022.05.28,7,"3,517,684,822원",70,"58,628,081원",2596,"1,580,881원",133621,"50,000원",2235724,"5,000원",12,18,22,23,30,34,32
1016,2022.05.21,11,"2,260,660,671원",68,"60,949,185원",2686,"1,543,018원",132413,"50,000원",2202914,"5,000원",15,26,28,34,41,42,44
1015,2022.05.14,8,"3,051,105,610원",102,"39,883,734원",2880,"1,412,549원",144321,"50,000원",2304033,"5,000원",14,23,31,33,37,40,44
1014,2022.05.07,10,"2,410,449,338원",69,"58,223,414원",2849,"1,410,115원",143906,"50,000원",2372712,"5,000원",3,11,14,18,26,27,21
1013,2022.04.30,5,"5,047,570,725원",79,"53,244,417원",2586,"1,626,570원",128697,"50,000원",2157701,"5,000원",21,22,26,34,36,41,32
1012,2022.04.23,13,"1,861,944,318원",76,"53,081,746원",2882,"1,399,797원",141514,"50,000원",2324952,"5,000원",5,11,18,20,35,45,3
1011,2022.04.16,11,"2,220,348,512원",76,"53,561,039원",2818,"1,444,514원",137485,"50,000원",2292065,"5,000원",1,9,12,26,35,38,42
1010,2022.04.09,8,"3,119,380,079원",66,"63,017,780원",2781,"1,495,568원",136828,"50,000원",2278193,"5,000원",9,12,15,25,34,36,3
